Task ID,LLM,Success,Solution length,Spec ratio,Specification length,Language,Benchmark,Run ID
DT0112,claude-opus-4.1,1,2754,0.9974646867077146,2761,dafny,numpy-triple,x236kb5h
DT0113,claude-opus-4.1,1,1186,1.2933478735005453,917,dafny,numpy-triple,x236kb5h
DT0102,claude-opus-4.1,0,1098,1.7076205287713841,643,dafny,numpy-triple,x236kb5h
DT0090,claude-opus-4.1,0,2586,1.4560810810810811,1776,dafny,numpy-triple,x236kb5h
DT0114,claude-opus-4.1,1,702,1.0100719424460431,695,dafny,numpy-triple,x236kb5h
DT0115,claude-opus-4.1,1,925,1.2865090403337969,719,dafny,numpy-triple,x236kb5h
DT0118,claude-opus-4.1,1,2720,1.2268831754623364,2217,dafny,numpy-triple,x236kb5h
DT0109,claude-opus-4.1,0,4590,1.9956521739130435,2300,dafny,numpy-triple,x236kb5h
DT0119,claude-opus-4.1,1,4325,1.24963883270731,3461,dafny,numpy-triple,x236kb5h
DT0122,claude-opus-4.1,1,1878,1.327208480565371,1415,dafny,numpy-triple,x236kb5h
DT0120,claude-opus-4.1,1,3984,1.8881516587677725,2110,dafny,numpy-triple,x236kb5h
DT0123,claude-opus-4.1,1,3150,1.0035043007327173,3139,dafny,numpy-triple,x236kb5h
DT0124,claude-opus-4.1,1,1321,1.0783673469387756,1225,dafny,numpy-triple,x236kb5h
DT0125,claude-opus-4.1,1,3917,1.0030729833546734,3905,dafny,numpy-triple,x236kb5h
DT0116,claude-opus-4.1,0,4668,1.250133904659882,3734,dafny,numpy-triple,x236kb5h
DT0129,claude-opus-4.1,1,793,1.194277108433735,664,dafny,numpy-triple,x236kb5h
DT0132,claude-opus-4.1,1,2848,1.1544385893798135,2467,dafny,numpy-triple,x236kb5h
DT0135,claude-opus-4.1,1,1378,1.2493200362647325,1103,dafny,numpy-triple,x236kb5h
DT0134,claude-opus-4.1,1,4262,1.6667970277669144,2557,dafny,numpy-triple,x236kb5h
DT0137,claude-opus-4.1,1,1892,1.4921135646687698,1268,dafny,numpy-triple,x236kb5h
DT0138,claude-opus-4.1,1,3240,1.737265415549598,1865,dafny,numpy-triple,x236kb5h
DT0144,claude-opus-4.1,1,1417,1.0231046931407943,1385,dafny,numpy-triple,x236kb5h
DT0143,claude-opus-4.1,1,3681,1.4345284489477785,2566,dafny,numpy-triple,x236kb5h
DT0146,claude-opus-4.1,1,1590,1.0088832487309645,1576,dafny,numpy-triple,x236kb5h
DT0128,claude-opus-4.1,0,4240,2.4381828637147787,1739,dafny,numpy-triple,x236kb5h
DT0142,claude-opus-4.1,0,2113,1.067710965133906,1979,dafny,numpy-triple,x236kb5h
DT0149,claude-opus-4.1,1,1854,1.6494661921708185,1124,dafny,numpy-triple,x236kb5h
DT0156,claude-opus-4.1,1,638,1.5714285714285714,406,dafny,numpy-triple,x236kb5h
DT0152,claude-opus-4.1,0,2225,1.3768564356435644,1616,dafny,numpy-triple,x236kb5h
DT0155,claude-opus-4.1,0,3758,1.357168652943301,2769,dafny,numpy-triple,x236kb5h
DT0158,claude-opus-4.1,0,2072,1.4349030470914128,1444,dafny,numpy-triple,x236kb5h
DT0165,claude-opus-4.1,1,1225,1.3888888888888888,882,dafny,numpy-triple,x236kb5h
DT0166,claude-opus-4.1,1,1196,1.290183387270766,927,dafny,numpy-triple,x236kb5h
DT0159,claude-opus-4.1,0,2110,2.1421319796954315,985,dafny,numpy-triple,x236kb5h
DT0167,claude-opus-4.1,1,1537,1.5293532338308458,1005,dafny,numpy-triple,x236kb5h
DT0168,claude-opus-4.1,1,1047,1.407258064516129,744,dafny,numpy-triple,x236kb5h
DT0163,claude-opus-4.1,0,1381,1.4296066252587991,966,dafny,numpy-triple,x236kb5h
DT0169,claude-opus-4.1,1,788,1.437956204379562,548,dafny,numpy-triple,x236kb5h
DT0151,claude-opus-4.1,0,3006,3.1247401247401245,962,dafny,numpy-triple,x236kb5h
DT0172,claude-opus-4.1,1,1511,2.3426356589147286,645,dafny,numpy-triple,x236kb5h
DT0175,claude-opus-4.1,1,1466,1.569593147751606,934,dafny,numpy-triple,x236kb5h
DT0176,claude-opus-4.1,1,497,0.9822134387351779,506,dafny,numpy-triple,x236kb5h
DT0177,claude-opus-4.1,1,894,1.2662889518413598,706,dafny,numpy-triple,x236kb5h
DT0178,claude-opus-4.1,1,826,1.083989501312336,762,dafny,numpy-triple,x236kb5h
DT0170,claude-opus-4.1,0,2812,1.2729741964689905,2209,dafny,numpy-triple,x236kb5h
DT0174,claude-opus-4.1,0,2512,2.211267605633803,1136,dafny,numpy-triple,x236kb5h
DT0180,claude-opus-4.1,1,2133,1.5501453488372092,1376,dafny,numpy-triple,x236kb5h
DT0173,claude-opus-4.1,0,2569,1.849532037437005,1389,dafny,numpy-triple,x236kb5h
DT0182,claude-opus-4.1,1,913,1.3174603174603174,693,dafny,numpy-triple,x236kb5h
DT0181,claude-opus-4.1,1,1753,1.479324894514768,1185,dafny,numpy-triple,x236kb5h
DT0184,claude-opus-4.1,1,654,1.0061538461538462,650,dafny,numpy-triple,x236kb5h
DT0189,claude-opus-4.1,1,1412,1.4262626262626263,990,dafny,numpy-triple,x236kb5h
DT0190,claude-opus-4.1,1,811,0.9938725490196079,816,dafny,numpy-triple,x236kb5h
DT0179,claude-opus-4.1,0,3776,1.534959349593496,2460,dafny,numpy-triple,x236kb5h
DT0193,claude-opus-4.1,1,2972,1.7732696897374702,1676,dafny,numpy-triple,x236kb5h
DT0194,claude-opus-4.1,1,883,1.3439878234398783,657,dafny,numpy-triple,x236kb5h
DT0191,claude-opus-4.1,1,1847,1.6102877070619006,1147,dafny,numpy-triple,x236kb5h
DT0197,claude-opus-4.1,1,1598,1.7238403451995685,927,dafny,numpy-triple,x236kb5h
DT0199,claude-opus-4.1,1,1048,1.3470437017994858,778,dafny,numpy-triple,x236kb5h
DT0200,claude-opus-4.1,1,1311,1.9596412556053813,669,dafny,numpy-triple,x236kb5h
DT0202,claude-opus-4.1,1,962,1.8082706766917294,532,dafny,numpy-triple,x236kb5h
DT0205,claude-opus-4.1,1,2862,1.2602377807133422,2271,dafny,numpy-triple,x236kb5h
DT0207,claude-opus-4.1,1,1727,1.2487346348517716,1383,dafny,numpy-triple,x236kb5h
DT0198,claude-opus-4.1,1,3655,1.6890018484288354,2164,dafny,numpy-triple,x236kb5h
DT0209,claude-opus-4.1,1,2077,1.1184706515885838,1857,dafny,numpy-triple,x236kb5h
DT0201,claude-opus-4.1,0,4047,1.7221276595744681,2350,dafny,numpy-triple,x236kb5h
DT0211,claude-opus-4.1,1,2107,1.377124183006536,1530,dafny,numpy-triple,x236kb5h
DT0183,claude-opus-4.1,0,2236,1.573539760731879,1421,dafny,numpy-triple,x236kb5h
DT0212,claude-opus-4.1,1,1234,1.021523178807947,1208,dafny,numpy-triple,x236kb5h
DT0210,claude-opus-4.1,0,2222,1.2546583850931676,1771,dafny,numpy-triple,x236kb5h
DT0208,claude-opus-4.1,1,4614,1.9913681484678463,2317,dafny,numpy-triple,x236kb5h
DT0218,claude-opus-4.1,1,2764,1.0626682045367166,2601,dafny,numpy-triple,x236kb5h
DT0213,claude-opus-4.1,1,2024,1.3556597454789014,1493,dafny,numpy-triple,x236kb5h
DT0219,claude-opus-4.1,1,1306,1.0549273021001615,1238,dafny,numpy-triple,x236kb5h
DT0221,claude-opus-4.1,1,1721,1.069608452454941,1609,dafny,numpy-triple,x236kb5h
DT0222,claude-opus-4.1,1,861,1.148,750,dafny,numpy-triple,x236kb5h
DT0227,claude-opus-4.1,1,2240,1.3389121338912133,1673,dafny,numpy-triple,x236kb5h
DT0231,claude-opus-4.1,0,0,-1,0,dafny,numpy-triple,x236kb5h
DT0226,claude-opus-4.1,0,3558,1.2205831903945112,2915,dafny,numpy-triple,x236kb5h
DT0230,claude-opus-4.1,0,4491,2.7300911854103345,1645,dafny,numpy-triple,x236kb5h
DT0238,claude-opus-4.1,1,1092,1.905759162303665,573,dafny,numpy-triple,x236kb5h
DT0232,claude-opus-4.1,0,9232,3.933532168726033,2347,dafny,numpy-triple,x236kb5h
DT0239,claude-opus-4.1,0,2928,1.3714285714285714,2135,dafny,numpy-triple,x236kb5h
DT0228,claude-opus-4.1,0,10468,3.445687952600395,3038,dafny,numpy-triple,x236kb5h
DT0234,claude-opus-4.1,0,9227,2.9033983637507865,3178,dafny,numpy-triple,x236kb5h
DT0245,claude-opus-4.1,0,950,1.2055837563451777,788,dafny,numpy-triple,x236kb5h
DT0242,claude-opus-4.1,0,3822,1.2916525853328826,2959,dafny,numpy-triple,x236kb5h
DT0251,claude-opus-4.1,1,593,1.5244215938303343,389,dafny,numpy-triple,x236kb5h
DT0252,claude-opus-4.1,1,1110,1.3182897862232779,842,dafny,numpy-triple,x236kb5h
DT0244,claude-opus-4.1,0,7722,2.0396196513470684,3786,dafny,numpy-triple,x236kb5h
DT0255,claude-opus-4.1,1,1022,1.280701754385965,798,dafny,numpy-triple,x236kb5h
DT0254,claude-opus-4.1,1,1070,1.2035995500562429,889,dafny,numpy-triple,x236kb5h
DT0257,claude-opus-4.1,1,912,1.2,760,dafny,numpy-triple,x236kb5h
DT0256,claude-opus-4.1,1,1535,1.161998485995458,1321,dafny,numpy-triple,x236kb5h
DT0248,claude-opus-4.1,0,2223,1.9230103806228374,1156,dafny,numpy-triple,x236kb5h
DT0247,claude-opus-4.1,0,3964,1.508371385083714,2628,dafny,numpy-triple,x236kb5h
DT0260,claude-opus-4.1,1,1271,1.2047393364928909,1055,dafny,numpy-triple,x236kb5h
DT0261,claude-opus-4.1,1,1926,1.1491646778042959,1676,dafny,numpy-triple,x236kb5h
DT0264,claude-opus-4.1,1,1223,1.216915422885572,1005,dafny,numpy-triple,x236kb5h
DT0265,claude-opus-4.1,1,901,0.9933847850055126,907,dafny,numpy-triple,x236kb5h
DT0266,claude-opus-4.1,1,2897,1.37624703087886,2105,dafny,numpy-triple,x236kb5h
DT0267,claude-opus-4.1,1,1812,1.0981818181818181,1650,dafny,numpy-triple,x236kb5h
DT0258,claude-opus-4.1,1,2327,1.4051932367149758,1656,dafny,numpy-triple,x236kb5h
DT0270,claude-opus-4.1,1,2310,1.09478672985782,2110,dafny,numpy-triple,x236kb5h
DT0271,claude-opus-4.1,1,2848,1.0666666666666667,2670,dafny,numpy-triple,x236kb5h
DT0272,claude-opus-4.1,1,1613,1.1101169993117688,1453,dafny,numpy-triple,x236kb5h
DT0275,claude-opus-4.1,1,1166,1.2273684210526317,950,dafny,numpy-triple,x236kb5h
DT0276,claude-opus-4.1,1,1303,1.1987120515179392,1087,dafny,numpy-triple,x236kb5h
DT0277,claude-opus-4.1,1,748,1.385185185185185,540,dafny,numpy-triple,x236kb5h
DT0278,claude-opus-4.1,1,1530,1.1643835616438356,1314,dafny,numpy-triple,x236kb5h
DT0263,claude-opus-4.1,0,4774,1.788684900711877,2669,dafny,numpy-triple,x236kb5h
DT0279,claude-opus-4.1,1,1060,1.0422812192723696,1017,dafny,numpy-triple,x236kb5h
DT0280,claude-opus-4.1,1,1258,1.221359223300971,1030,dafny,numpy-triple,x236kb5h
DT0268,claude-opus-4.1,0,1723,1.2228530872959547,1409,dafny,numpy-triple,x236kb5h
DT0282,claude-opus-4.1,1,1054,1.2517814726840855,842,dafny,numpy-triple,x236kb5h
DT0281,claude-opus-4.1,1,1793,1.599464763603925,1121,dafny,numpy-triple,x236kb5h
DT0285,claude-opus-4.1,1,3669,1.5835131635735866,2317,dafny,numpy-triple,x236kb5h
DT0284,claude-opus-4.1,0,2220,1.4212548015364916,1562,dafny,numpy-triple,x236kb5h
DT0293,claude-opus-4.1,0,0,-1,0,dafny,numpy-triple,x236kb5h
DT0289,claude-opus-4.1,0,3308,1.5146520146520146,2184,dafny,numpy-triple,x236kb5h
DT0294,claude-opus-4.1,1,2710,1.400516795865633,1935,dafny,numpy-triple,x236kb5h
DT0291,claude-opus-4.1,0,1193,2.2092592592592593,540,dafny,numpy-triple,x236kb5h
DT0287,claude-opus-4.1,0,5923,2.5290350128095644,2342,dafny,numpy-triple,x236kb5h
DT0299,claude-opus-4.1,1,1813,1.0383734249713632,1746,dafny,numpy-triple,x236kb5h
DT0298,claude-opus-4.1,1,1924,1.3482831114225649,1427,dafny,numpy-triple,x236kb5h
DT0302,claude-opus-4.1,1,1822,1.1597708465945258,1571,dafny,numpy-triple,x236kb5h
DT0304,claude-opus-4.1,1,876,1.331306990881459,658,dafny,numpy-triple,x236kb5h
DT0295,claude-opus-4.1,0,5015,2.4987543597409068,2007,dafny,numpy-triple,x236kb5h
DT0309,claude-opus-4.1,1,1206,1.2981700753498386,929,dafny,numpy-triple,x236kb5h
DT0307,claude-opus-4.1,1,848,1.372168284789644,618,dafny,numpy-triple,x236kb5h
DT0311,claude-opus-4.1,1,1376,1.3516699410609037,1018,dafny,numpy-triple,x236kb5h
DT0314,claude-opus-4.1,1,2573,1.3506561679790026,1905,dafny,numpy-triple,x236kb5h
DT0296,claude-opus-4.1,0,3173,1.9622758194186765,1617,dafny,numpy-triple,x236kb5h
DT0317,claude-opus-4.1,1,2330,1.7598187311178248,1324,dafny,numpy-triple,x236kb5h
DT0316,claude-opus-4.1,1,2439,1.6762886597938145,1455,dafny,numpy-triple,x236kb5h
DT0322,claude-opus-4.1,1,1727,1.353448275862069,1276,dafny,numpy-triple,x236kb5h
DT0321,claude-opus-4.1,0,0,-1,0,dafny,numpy-triple,x236kb5h
DT0325,claude-opus-4.1,1,1953,1.081994459833795,1805,dafny,numpy-triple,x236kb5h
DT0329,claude-opus-4.1,1,816,1.3076923076923077,624,dafny,numpy-triple,x236kb5h
DT0310,claude-opus-4.1,0,2582,1.4257316399779127,1811,dafny,numpy-triple,x236kb5h
